loss,mean_absolute_error,val_loss,val_mean_absolute_error
4436.0078125,65.1711196899414,4648.96630859375,66.8934097290039
4130.01220703125,62.99924087524414,4465.20263671875,65.5919189453125
3746.4833984375,60.07208251953125,4154.14501953125,63.3508415222168
3222.624267578125,55.75124740600586,3693.339599609375,59.837242126464844
2562.0888671875,49.55049133300781,3070.2353515625,54.57677459716797
1892.6572265625,41.8614616394043,2380.154296875,47.876426696777344
1293.7294921875,33.578765869140625,1771.891845703125,40.83418273925781
924.5961303710938,26.717056274414062,1287.182373046875,34.00879669189453
685.7875366210938,22.209688186645508,957.406005859375,28.663827896118164
499.65655517578125,18.743289947509766,690.9852294921875,23.896930694580078
358.27154541015625,15.796730995178223,493.8728942871094,19.944189071655273
281.35888671875,13.792322158813477,320.39373779296875,15.916080474853516
275.51898193359375,13.582624435424805,228.7833709716797,13.533194541931152
277.02423095703125,13.597641944885254,151.24864196777344,10.820640563964844
325.01116943359375,14.151963233947754,116.41666412353516,9.335679054260254
184.10252380371094,10.795650482177734,81.95189666748047,7.71291971206665
184.4885711669922,11.046928405761719,63.96976852416992,6.778919219970703
254.20433044433594,12.735989570617676,43.229190826416016,5.313445091247559
231.9967041015625,12.414273262023926,35.800411224365234,4.732971668243408
193.67385864257812,11.029023170471191,28.51899528503418,4.21378755569458
203.84988403320312,11.581159591674805,26.628570556640625,4.064871788024902
215.21640014648438,11.582751274108887,28.51499366760254,4.200677871704102
201.74302673339844,11.255438804626465,24.201810836791992,3.8468995094299316
238.5760498046875,12.315735816955566,24.346006393432617,3.9016759395599365
189.44479370117188,11.200126647949219,20.669044494628906,3.5475611686706543
178.60528564453125,10.572237014770508,20.668630599975586,3.556752920150757
173.44834899902344,10.548624992370605,28.382701873779297,4.216785430908203
183.3475341796875,10.621742248535156,21.88677406311035,3.6396775245666504
242.54005432128906,12.428571701049805,27.700666427612305,4.154266834259033
176.72787475585938,10.705991744995117,22.671188354492188,3.746286153793335
252.51675415039062,13.072935104370117,20.310251235961914,3.518162488937378
146.5339813232422,9.539886474609375,20.98763084411621,3.5420594215393066
155.535400390625,9.977639198303223,21.62520980834961,3.6865952014923096
203.5537872314453,11.681344032287598,21.478483200073242,3.6477763652801514
181.9936981201172,10.782793998718262,27.545806884765625,4.191232204437256
220.42041015625,12.109840393066406,22.31372833251953,3.7213637828826904
167.00112915039062,10.496696472167969,20.851232528686523,3.6104366779327393
180.9877471923828,10.700521469116211,22.308311462402344,3.737243175506592
170.9579620361328,10.418966293334961,22.96946144104004,3.798236608505249
213.43228149414062,11.699861526489258,20.830219268798828,3.596074104309082
256.8333740234375,13.028615951538086,21.116775512695312,3.598113775253296
174.96487426757812,10.702345848083496,23.628820419311523,3.8525450229644775
200.06329345703125,11.521281242370605,27.74493980407715,4.171054840087891
147.06915283203125,9.807621002197266,20.644777297973633,3.5759503841400146
199.78012084960938,11.576678276062012,27.81879425048828,4.165028095245361
165.67747497558594,10.438819885253906,23.063135147094727,3.8071155548095703
170.8474578857422,10.523843765258789,28.168811798095703,4.198393821716309
192.78733825683594,11.115957260131836,21.76421356201172,3.682586193084717
155.56956481933594,9.865896224975586,23.29054832458496,3.8043150901794434
140.12393188476562,9.668046951293945,27.507801055908203,4.154731273651123
173.0410614013672,10.41369342803955,30.734310150146484,4.415102481842041
